,영업 시간,가게명,가게 주소,업종,이미지url,카카오 url,별점,예측별점평균
275,월~토 10:00 ~ 24:00,낭만공작소,광주 서구 상무누리로 22 1층 (우)61960,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC5F3EC03CE574316A23C9FF108170995',https://place.map.kakao.com/22874618,3.3529411764705883,3.176470588235294
291,매일 11:30 ~ 21:30,노대장어,광주 남구 효덕로 122 2층 (우)61747,장어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9F2F9DD968164797914777F04EEE7534',https://place.map.kakao.com/979999304,2.8333333333333335,3.1666666666666665
128,"월,화,수,목,일 17:00 ~ 00:30",육층집,광주 동구 문화전당로35번길 16-4 6층 (우)61487,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6164E9A881264C31A4715C548B1DEE18',https://place.map.kakao.com/356332807,4.769230769230769,3.1538461538461537
252,월~토 16:00 ~ 24:00,제주돈사촌,광주 북구 저불로 24 1층 (우)61111,삼겹살,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F795A14519A0C47638C34C0611CA2746D',https://place.map.kakao.com/12689524,4.538461538461538,3.1538461538461537
231,월~토 11:30 ~ 21:30,대광식당,광주 서구 상무대로695번길 15 1층 (우)61955,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF13ED616F65F4998AC61E8F13A542E40',https://place.map.kakao.com/7815872,2.5294117647058822,3.1470588235294117
300,매일 15:00 ~ 02:00,탭하우스60,광주 서구 상무중앙로34번길 6 1층 (우)61963,"호프,요리주점",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6537E011B8644FF184BEC33B88F672D7',https://place.map.kakao.com/349690372,3.4285714285714284,3.142857142857143
69,매일 11:30 ~ 22:00,하남목장,광주 광산구 사암로216번길 10-15 (우)62355,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD1FBEA6E329D48DD8FD290C04A46F1B9',https://place.map.kakao.com/902274375,3.75,3.125
257,"월,화,수,목,일 11:30 ~ 22:30",산쪼메 광주상무점,광주 서구 시청로60번길 19 (우)61948,일본식라면,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDC0C4CB7A77748A68F36ABE3DA5BE702',https://place.map.kakao.com/26942822,3.6842105263157894,3.1052631578947367
211,매일 11:00 ~ 22:00,게더링,광주 동구 동계천로 168 (우)61436,커피전문점,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC800DDEAC1AA4B3488D46D8EDFC6BC0D',https://place.map.kakao.com/1548478988,2.210526315789474,3.1052631578947367
206,수요일                                                                                    ,분포나인,광주 남구 백서로 39 (우)61643,베트남음식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6082906909134CE8A686CF51512FFAA0',https://place.map.kakao.com/456714920,4.173913043478261,3.0869565217391304
273,매일 09:00 ~ 21:30,자리봉국밥 수완직영점,광주 광산구 장신로20번길 10 (우)62226,국밥,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F847306161D354E4598B0534F7E52D178',https://place.map.kakao.com/737039275,4.833333333333333,3.0833333333333335
267,"월,화,수,금 11:00 ~ 20:30",서진주한정식,광주 북구 석곡로 630 1층 (우)61140,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F21E55275A4B34AE4AB59297F054070BF',https://place.map.kakao.com/13267213,3.96,3.08
68,매일 11:30 ~ 24:00,여수회수산,광주 광산구 풍영로 95 (우)62234,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6515DA17E46041B78E92FD2F78AB3C5A',https://place.map.kakao.com/26405591,2.5714285714285716,3.0714285714285716
120,매일 00:00 ~ 24:00,서울깍두기 상무점,광주 서구 상무시민로 97-6 (우)61947,설렁탕,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5DF5CD9B01F545E883EC9C435F078039',https://place.map.kakao.com/17382332,4.535714285714286,3.0714285714285716
215,매일 12:00 ~ 02:00,새벽달 본점,광주 동구 장동로 11 (우)61436,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2256C4C5CC99433E85B754A4B1C86626',https://place.map.kakao.com/101970182,3.5588235294117645,3.0588235294117645
204,화~일 11:30 ~ 21:30,하원재,광주 남구 제중로47번길 11 1층 (우)61643,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F215D198A2B8447E3B8FC3FD5E60F1DFB',https://place.map.kakao.com/2022745656,4.529411764705882,3.0588235294117645
19,매일 11:00 ~ 21:00,열도지,광주 동구 제봉로82번길 17 (우)61465,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F456BEDCC8D2847DCA823DDD8A2BD6C06',https://place.map.kakao.com/451615583,4.265625,3.046875
144,매일 11:00 ~ 21:00,퍼땀 봉선점,광주 남구 용대로53번길 2-14 1층 (우)61705,베트남음식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE579A52793CA4197B8DFD64D716DEBCD',https://place.map.kakao.com/945750134,3.130434782608696,3.0434782608695654
121,매일 10:00 ~ 22:00,화정떡갈비,광주 광산구 광산로29번길 6 (우)62430,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4CC31054A2364807BDAC583D45013F86',https://place.map.kakao.com/8171788,2.5185185185185186,3.037037037037037
205,매일 11:30 ~ 22:00,김상태해물왕국,광주 광산구 수등로 297 (우)62294,"해물,생선",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBD12202291B047949DEFE09A7F23818C',https://place.map.kakao.com/379365794,4.419354838709677,3.032258064516129
145,화~일 11:30 ~ 22:00,친츠,광주 서구 상무누리로 15 2층 (우)61955,아시아음식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF1D2FA5399574963AD41530051C9DCE9',https://place.map.kakao.com/1410858936,3.696969696969697,3.0303030303030303
303,매일 16:00 ~ 24:00(재료 소진시까지 ),깐깐한족발 수완직영점,광주 광산구 수완로 44 (우)62305,"족발,보쌈",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F24831E84D1FA447D8D68857E110D18A1',https://place.map.kakao.com/1791191213,4.676470588235294,3.0294117647058822
134,수요일                                                                                    ,돈까스만드는남자 비엔날레본점,광주 북구 비엔날레로 134 용산빌딩 3층 (우)61107,"돈까스,우동",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F26AA0D0E935C48AC8161434B4B9E01CA',https://place.map.kakao.com/27559913,3.111111111111111,3.0
177,매일 10:00 ~ 02:00,상지파크,광주 서구 상무중앙로72번길 8 (우)61949,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFEE7D3E7C87E4F4E87D1F9D8999EDFCA',https://place.map.kakao.com/218893449,3.857142857142857,3.0
305,화~토 11:00 ~ 22:00,아코다초코,광주 서구 화정로153번길 12 1층 (우)61986,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCB9EC733F6C5438D9B8969EA92D5434E',https://place.map.kakao.com/17972072,4.75,3.0
89,매일 11:30 ~ 22:00,진도예가,광주 서구 마륵복개로 53-1 (우)61999,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4402CC25E4284BA5AF9B2D21C66DBE23',https://place.map.kakao.com/20722762,2.3846153846153846,3.0
116,매일 11:30 ~ 22:00,한남동나른한오후,광주 동구 동명로67번길 14-1 (우)61432,퓨전요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_793133380',https://place.map.kakao.com/217164421,4.0,3.0
219,매일 11:00 ~ 02:00,꾸다,광주 서구 상무중앙로 6-18 1층 (우)61963,"호프,요리주점",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F30D5C5106ACF4A16AE19A3452CF66748',https://place.map.kakao.com/539808845,5.0,3.0
168,월~토 18:00 ~ 02:30,저팔계,광주 남구 봉선중앙로123번길 16 1층 (우)61688,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD37948D30455426E9B9A79604F53DA5C',https://place.map.kakao.com/9389255,3.8333333333333335,3.0
